,word,count
2492,세계,2
2493,시간,2
2494,순삭,2
2496,전체,2
2497,스토리,3
2498,완성,2
2500,미약,2
2505,후회,2
2506,관람,2
2509,영상,2
2511,카메론,3
2512,카메론,3
2513,감독,2
2514,동시,2
2517,행운,2
2519,기억,2
2521,최고다,3
2524,아주,2
2525,스토리,3
2526,일반,2
2527,연출,2
2528,커버,2
2529,아주,2
2530,다만,2
2531,시간,2
2532,라서,2
2533,조금,2
2534,무조건,3
2535,아이맥스,4
2538,호강,2
2539,제대로,3
2540,카메론,3
2541,카메론,3
2542,감독,2
2543,기대,2
2544,웅장,2
